Character,Move Name,Alt Names,Guard,Properties,Damage,Meter,On Hit,On Block,Startup,Active,Recovery,Hitstun,Blockstun,Hitstop,On Pushblock,Footer,Thumbnail URL,Footer URL
ANNIE,5LP,MACRO_5LP,Mid,Chains Into Self,"300, [300 (35)]",2.50%,+1,+4 [+10],6,2,14,16,19,7,+11 to +12,"- Can chain into itself once, or into 2LP.
- See also 5LP X2.",https://wiki.gbl.gg/images/7/73/SG_ann_slp_hb.png,https://wiki.gbl.gg/images/0/0f/SG_ann_slp1_fd.png
ANNIE,5LP X2,MACRO_5LP_2ND,Mid,-,"300, [300 (35)]",2.50%,+1,+4 [+10],"11 (whiff), 6 (hit/block)",2,14,16,19,7,+11 to +12,,https://wiki.gbl.gg/images/7/73/SG_ann_slp_hb.png,https://wiki.gbl.gg/images/3/35/SG_ann_slp2_fd.png
ANNIE,5MP,MACRO_5MP,Mid,-,"500, [450 (45)]",7.50%,-2,-11 [-4],12,2,26,25,16,9,-1 to ±0,,https://wiki.gbl.gg/images/3/33/SG_ann_smp_hb.png,https://wiki.gbl.gg/images/3/33/SG_ann_smp_hb.png
ANNIE,5HP,MACRO_5HP,Mid,Chains Into Self,"700, [450 x3 (45 x3)]",4.5%,±0,-11 [-9],16,2,33,34,23,11,-8 to -7,- See also 5HP X2.,https://wiki.gbl.gg/images/5/51/SG_ann_shp_hb.png,https://wiki.gbl.gg/images/c/c2/SG_ann_shp_fd.png
ANNIE,5HP X2,"HP X2
S.HP X2
SHP X2
5.HP X2
5HPX2
HPX2
S.HPX2
SHPX2
5.HPX2",High,-,"600, [650 (70)]",4.5%,Soft KD,-6 [+13],19,2,21,27,16,11,+4 to +5,"- Airborne on frame 7.
- Can use the airborne state to kara into divekicks to continue a combo.",https://wiki.gbl.gg/images/5/51/SG_ann_shp_hb.png,https://wiki.gbl.gg/images/1/1d/SG_ann_shp2_fd.png
ANNIE,5LK,MACRO_5LK,Mid,-,"200 x2, [300x2 (35x2)], 300","2.7% x2, 3.15%",+6,±0 [±0],8,"4,4,4",15,"25 x2, 24","17 x2, 18","4 x2, 9",±0 to +8,,https://wiki.gbl.gg/images/c/cf/SG_ann_slk_hb.png,https://wiki.gbl.gg/images/a/a8/SG_ann_slk_fd.png
ANNIE,5MK,MACRO_5MK,Mid,Chains Into Self,"400, [450 (45)]",3.75%,+3,+3 [+3],11,4,17,23,23,10,+6 to +9,- See also 5MK X2.,https://wiki.gbl.gg/images/a/a4/SG_ann_smk_hb.png,https://wiki.gbl.gg/images/0/05/SG_ann_smk1_fd.png
ANNIE,5MK X2,"MK X2
S.MK X2
SMK X2
5.MK X2
5MKX2
MKX2
S.MKX2
SMKX2
5.MKX2",Mid,-,"500, [450 (45)]",7.5%,-2,-7 [-3],10,3,24,24,19,9,±0 to +2,,https://wiki.gbl.gg/images/a/a4/SG_ann_smk_hb.png,https://wiki.gbl.gg/images/6/6d/SG_ann_smk2_fd.png
ANNIE,5HK,MACRO_5HK,Mid,Launcher,"950, [650 (70)]",10%,-3,-14 [+2],17,6,28,30,19,14 (10 on block),-11 to -6,"- Main combo tool with H DP in the corner.
- During install, the star projectile will whiff on most crouching opponents when up close so the block advantage will stay -14.",https://wiki.gbl.gg/images/2/28/SG_ann_shk_hb.png,https://wiki.gbl.gg/images/8/87/SG_ann_shk_fd.png
ANNIE,2LP,MACRO_2LP,Mid,Chains Into Self,"300, [300 (35)]",2.5%,+2,+1 [+8],6,3,15,19,18,7,+9 to +26,"- Is head invul during active frames, similar to Guilty Gear 6P's.
- Can chain to sLP instead of cLP x2.
- See also 2LP X2.",https://wiki.gbl.gg/images/1/1e/SG_ann_clp_hb.png,https://wiki.gbl.gg/images/e/ec/SG_ann_clp_fd.png
ANNIE,2LP X2,"CLP X2
C.LP X2
2.LP X2
CLPX2
C.LPX2
2.LPX2
2LPX2
CLP 2ND
C.LP 2ND
2.LP 2ND
2LP 2ND
CROUCHING JAB 2ND
CROUCH JAB 2ND",Mid,-,"300, [300 (35)]",2.5%,+2,+1 [+8],6,3,15,19,18,7,+9 to +26,"- Is head invul during active frames, similar to Guilty Gear 6P's.",https://wiki.gbl.gg/images/1/1e/SG_ann_clp_hb.png,https://wiki.gbl.gg/images/8/84/SG_ann_clp2_fd.png
ANNIE,2MP,MACRO_2MP,Mid,-,"600, [450 (45)]",7.5%,-2,-5 [-1],10,4,21,28,19,9,+2 to +20,,https://wiki.gbl.gg/images/f/fe/SG_ann_cmp_hb.png,https://wiki.gbl.gg/images/8/85/SG_ann_cmp_fd.png
ANNIE,2HP,MACRO_2HP,Mid,-,"1200,
[650 x2 (70x2)]",10%,KD,-13 [±0],12,3,34,22,25,9,-12 to +12,"- Very quick anti-air that hits high up, pick up with M Crescent for conversions.",https://wiki.gbl.gg/images/a/a6/SG_ann_chp_hb.png,https://wiki.gbl.gg/images/f/f8/SG_ann_chp_fd.png
ANNIE,2LK,MACRO_2LK,Low,-,"250, [300 (35)]",2.5%,+2,±0 [+8],7,3,15,19,17,7,+9 to +25,,https://wiki.gbl.gg/images/d/d7/SG_ann_clk_hb.png,https://wiki.gbl.gg/images/4/4e/SG_ann_clk_fd.png
ANNIE,2MK,MACRO_2MK,Low,-,"575, [450 (45)]",7.5%,-2,-6 [-1],14,3,22,22,18,9,+2 to +19,,https://wiki.gbl.gg/images/7/77/SG_ann_cmk_hb.png,https://wiki.gbl.gg/images/0/0e/SG_ann_cmk_fd.png
